Cereal,Sugar
All Bran,0.2
Alpha Bits,0.403
Apple Jacks,0.55
Booberry,0.457
Bran Buds,0.302
Cap'n Crunch,0.433
Cheerios,0.022
Cinnamon Crunch,0.503
Cocoa Krispies,0.459
Cocoa Pebbles,0.535
Cocoa Puffs,0.43
Corn Chex,0.075
Corn Total,0.044
Count Chocula,0.442
Fortified Oat Flakes,0.222
Frankenberry,0.44
Froot Loops,0.474
Frosted Flakes,0.44
Frosted Mini-Wheats,0.336
Fruit Pebbles,0.551
Granola,0.166
Granola with Dates,0.145
Granola with Raisins,0.145
Granola With Almonds,0.214
Grape Nut Flakes,0.033
Grape Nuts,0.066
Honeycomb,0.488
Kellogg's Corn Flakes,0.078
Kellogg's Rasin Bran,0.106
Kellogg's 40% Bran Flakes,0.162
Life,0.145
Lucky Charms,0.504
Post Toasties,0.041
Post 40% Bran Flakes,0.158
Product 19,0.041
Puffed Rice,0.024
Puffed Wheat,0.035
Rice Chex,0.085
Rice Krispies,0.1
Shredded Wheat,0.01
Special K,0.044
Spoon Sized Shredded Wheat,0.013
Sugar Frosted Flakes,0.156
Sugar Pops,0.378
Sugar Smacks,0.603
Total,0.081
Trix,0.466
Wheaties,0.047
100% Bran,0.184
