Age,Height,Weight
46,184.9,81.64656
31,165.5,79.3786
23,152.2,45.3592
19,187.4,83.91452
23,174.1,72.121128
47,177,77.11064
30,164.6,62.142104
28,182.7,87.089664
23,165,68.0388
29,158.7,54.43104
47,169.1,64.863656
41,152.5,48.534344
51,177.2,102.965384
30,162.7,66.678024
22,176.4,80.739376
67,175.3,75.296272
25,171.2,69.399576
65,158.7,51.255896
22,164.6,64.410064
21,170.5,58.96696
20,166.3,65.77084
33,198.4,132.902456
24,185.3,81.64656
39,150.2,53.070264
58,166.4,68.0388
22,181.6,77.564232
21,163.4,56.699
23,164.3,72.57472
21,175.5,71.213944
40,151.6,52.16308
59,153,76.203456
47,175.8,79.3786
72,175,84.368112
34,152.2,52.16308
19,169.9,68.0388
41,164.1,54.884632
21,170.4,69.853168
56,171.5,71.667536
