Pressure,WindSpeed
977,128.7472
960,160.934
977,128.7472
961,160.934
985,112.6538
969,144.8406
965,112.6538
985,112.6538
950,160.934
969,144.8406
950,177.0274
934,209.2142
969,144.8406
961,128.7472
976,128.7472
985,112.6538
950,177.0274
969,144.8406
969,144.8406
970,112.6538
985,112.6538
985,112.6538
969,144.8406
969,144.8406
969,144.8406
985,112.6538
969,144.8406
969,144.8406
985,112.6538
963,160.934
965,144.8406
985,112.6538
970,112.6538
977,128.7472
955,160.934
965,144.8406
985,112.6538
985,112.6538
959,160.934
985,112.6538
960,160.934
980,128.7472
973,144.8406
985,112.6538
960,160.934
970,144.8406
963,144.8406
971,160.934
964,144.8406
950,177.0274
931,177.0274
972,144.8406
987,112.6538
985,112.6538
970,144.8406
975,144.8406
949,160.934
969,144.8406
985,112.6538
965,144.8406
953,160.934
973,136.7939
973,136.7939
973,136.7939
985,112.6538
925,217.2609
973,128.7472
955,168.9807
981,120.7005
946,104.6071
973,136.7939
981,120.7005
985,112.6538
945,177.0274
985,88.5137
970,152.8873
985,112.6538
977,128.7472
985,112.6538
986,120.7005
954,160.934
973,136.7939
948,185.0741
955,168.9807
975,144.8406
955,168.9807
973,104.6071
973,136.7939
985,112.6538
960,177.0274
981,120.7005
985,112.6538
980,120.7005
938,185.0741
979,136.7939
945,168.9807
955,152.8873
936,201.1675
983,112.6538
973,128.7472
976,128.7472
990,112.6538
985,112.6538
985,112.6538
979,120.7005
977,128.7472
958,152.8873
953,168.9807
989,88.5137
985,112.6538
972,136.7939
959,160.934
955,104.6071
952,168.9807
957,160.934
965,152.8873
955,152.8873
985,112.6538
972,136.7939
988,104.6071
973,136.7939
988,104.6071
976,120.7005
989,104.6071
945,160.934
962,160.934
949,160.934
1002,104.6071
987,128.7472
959,160.934
942,144.8406
971,120.7005
967,136.7939
990,120.7005
990,104.6071
993,104.6071
984,112.6538
986,112.6538
934,193.1208
983,120.7005
962,144.8406
922,233.3543
960,160.934
973,136.7939
942,160.934
974,144.8406
954,160.934
984,112.6538
964,152.8873
987,112.6538
964,144.8406
951,160.934
956,144.8406
987,112.6538
963,128.7472
979,128.7472
957,144.8406
972,112.6538
941,209.2142
985,104.6071
960,144.8406
946,168.9807
950,168.9807
